word,aoa,dale_chall,source
a,2.89,yes,kuperman
about,5.07,yes,kuperman
again,5.78,yes,kuperman
air,3.94,yes,kuperman
all,4.24,yes,kuperman
am,5.11,yes,kuperman-lemma
an,2.89,yes,kuperman-lemma
ana,,no,estimated:name
and,4.57,yes,kuperman
any,6.00,yes,kuperman
apple,4.15,yes,kuperman
are,5.11,yes,kuperman-lemma
arm,3.26,yes,kuperman
art,6.21,yes,kuperman
artist,6.78,yes,kuperman
as,6.10,yes,kuperman
asks,2.89,yes,kuperman-lemma
asleep,4.47,yes,kuperman
at,4.04,yes,kuperman
ate,2.78,yes,kuperman-lemma
away,5.07,yes,kuperman
ax,6.32,yes,kuperman
baby,3.84,yes,kuperman
back,5.31,yes,kuperman
backpack,5.38,no,kuperman
backs,5.31,yes,kuperman-lemma
bad,2.79,yes,kuperman
badge,6.11,yes,kuperman
bag,4.28,yes,kuperman
bake,5.50,yes,kuperman
ball,2.90,yes,kuperman
band,6.16,yes,kuperman
bang,5.74,yes,kuperman
bank,6.44,yes,kuperman
barn,4.50,yes,kuperman
bat,4.85,yes,kuperman
bath,3.23,yes,kuperman
baths,3.23,yes,kuperman-lemma
bats,4.85,yes,kuperman-lemma
be,5.11,yes,kuperman
beach,4.80,yes,kuperman
beak,5.42,no,kuperman
bean,3.42,yes,kuperman
beans,3.42,yes,kuperman-lemma
bear,3.58,yes,kuperman
beard,4.84,yes,kuperman
bed,2.89,yes,kuperman
beds,2.89,yes,kuperman-lemma
bee,5.00,yes,kuperman
been,5.11,yes,kuperman-lemma
before,5.45,yes,kuperman
beg,5.78,yes,kuperman
behind,4.90,yes,kuperman
bell,3.89,yes,kuperman
belt,4.62,yes,kuperman
ben,,no,estimated:name
bend,5.56,yes,kuperman
bent,5.56,yes,kuperman-lemma
best,4.09,yes,kuperman
beth,,no,estimated:name
bicycle,4.26,yes,kuperman
bid,9.84,yes,kuperman
big,2.89,yes,kuperman
bigger,2.89,yes,kuperman-lemma
biggest,2.89,yes,kuperman-lemma
bike,4.79,no,kuperman
bill,6.42,yes,kuperman
bin,4.68,yes,kuperman
bins,4.68,yes,kuperman-lemma
bird,3.52,yes,kuperman
birds,3.52,yes,kuperman-lemma
bit,6.47,yes,kuperman
bite,3.58,yes,kuperman
black,3.56,yes,kuperman
blew,4.00,yes,kuperman-lemma
blind,7.00,yes,kuperman
blob,6.16,no,kuperman
block,4.79,yes,kuperman
blot,8.38,yes,kuperman
blow,4.00,yes,kuperman
blue,3.53,yes,kuperman
boat,3.84,yes,kuperman
bob,6.16,yes,kuperman
bog,9.37,no,kuperman
boil,6.60,yes,kuperman
bold,9.21,yes,kuperman
bolt,7.28,no,kuperman
bone,5.53,yes,kuperman
book,3.68,yes,kuperman
boot,3.89,yes,kuperman
born,4.68,yes,kuperman
boss,6.16,yes,kuperman
both,4.77,yes,kuperman
bottle,3.56,yes,kuperman
